size,conv_time,cov_time,convh2dtime,covh2dtime,convd2htime,covd2htime,convolution_flops,convolution_bytes,covariance_flops,covariance_bytes,convh2dbytes,covh2dbytes,convd2hbytes,covd2hbytes
600, 0.0009937286376953125, 0.0004165172576904297, 0.0006334781646728516, 0.0010995864868164062, 0.0005979537963867188, 0.0007681846618652344, 2160000, 2880000, 108360000, 2880000, 1440012, 2880000, 1440000, 1440000
800, 0.0010786056518554688, 0.001188516616821289, 0.0007684230804443359, 0.0018153190612792969, 0.0008730888366699219, 0.0010492801666259766, 3840000, 5120000, 192640000, 5120000, 2560012, 5120000, 2560000, 2560000
1000, 0.0013561248779296875, 0.0007719993591308594, 0.0018715858459472656, 0.003045320510864258, 0.0012049674987792969, 0.001260519027709961, 6000000, 8000000, 301000000, 8000000, 4000012, 8000000, 4000000, 4000000
1400, 0.0011701583862304688, 0.0011227130889892578, 0.00217437744140625, 0.004097700119018555, 0.0022439956665039062, 0.0017518997192382812, 11760000, 15680000, 589960000, 15680000, 7840012, 15680000, 7840000, 7840000
1600, 0.0015306472778320312, 0.0033369064331054688, 0.0025534629821777344, 0.0063402652740478516, 0.0035326480865478516, 0.002006053924560547, 15360000, 20480000, 770560000, 20480000, 10240012, 20480000, 10240000, 10240000
1800, 0.0012979507446289062, 0.0017578601837158203, 0.0032279491424560547, 0.0056972503662109375, 0.0025675296783447266, 0.0029354095458984375, 19440000, 25920000, 975240000, 25920000, 12960012, 25920000, 12960000, 12960000
2200, 0.0019884109497070312, 0.0025196075439453125, 0.005672454833984375, 0.010287284851074219, 0.006088972091674805, 0.0042378902435302734, 29040000, 38720000, 1456840000, 38720000, 19360012, 38720000, 19360000, 19360000
2400, 0.0026226043701171875, 0.007203817367553711, 0.007554054260253906, 0.010464668273925781, 0.006423234939575195, 0.006818294525146484, 34560000, 46080000, 1733760000, 46080000, 23040012, 46080000, 23040000, 23040000
2600, 0.0019941329956054688, 0.0033521652221679688, 0.007106304168701172, 0.01235651969909668, 0.009042024612426758, 0.006512165069580078, 40560000, 54080000, 2034760000, 54080000, 27040012, 54080000, 27040000, 27040000
2800, 0.0023565292358398438, 0.005018472671508789, 0.009632587432861328, 0.013607978820800781, 0.006424665451049805, 0.007359504699707031, 47040000, 62720000, 2359840000, 62720000, 31360012, 62720000, 31360000, 31360000
3000, 0.0024890899658203125, 0.0043714046478271484, 0.011294841766357422, 0.02237987518310547, 0.009624719619750977, 0.011017084121704102, 54000000, 72000000, 2709000000, 72000000, 36000012, 72000000, 36000000, 36000000
3400, 0.0037631988525390625, 0.005534648895263672, 0.01683807373046875, 0.027212142944335938, 0.009196281433105469, 0.010989904403686523, 69360000, 92480000, 3479560000, 92480000, 46240012, 92480000, 46240000, 46240000
3600, 0.0034189224243164062, 0.008217334747314453, 0.020748376846313477, 0.027786970138549805, 0.014007329940795898, 0.012826204299926758, 77760000, 103680000, 3900960000, 103680000, 51840012, 103680000, 51840000, 51840000
3800, 0.004252433776855469, 0.007057666778564453, 0.014003515243530273, 0.03105449676513672, 0.01491689682006836, 0.011337995529174805, 86640000, 115520000, 4346440000, 115520000, 57760012, 115520000, 57760000, 57760000
4200, 0.004261970520019531, 0.008690834045410156, 0.017170190811157227, 0.031477928161621094, 0.013564825057983398, 0.015005111694335938, 105840000, 141120000, 5309640000, 141120000, 70560012, 141120000, 70560000, 70560000
4600, 0.005454063415527344, 0.009804964065551758, 0.019594669342041016, 0.03974199295043945, 0.029382944107055664, 0.020586490631103516, 126960000, 169280000, 6369160000, 169280000, 84640012, 169280000, 84640000, 84640000
5000, 0.0063800811767578125, 0.012450218200683594, 0.02929830551147461, 0.07428765296936035, 0.018197059631347656, 0.03262925148010254, 150000000, 200000000, 7525000000, 200000000, 100000012, 200000000, 100000000, 100000000
5400, 0.007704734802246094, 0.013578653335571289, 0.03104686737060547, 0.06318521499633789, 0.02935028076171875, 0.028263568878173828, 174960000, 233280000, 8777160000, 233280000, 116640012, 233280000, 116640000, 116640000
5800, 0.009284019470214844, 0.016809463500976562, 0.04285001754760742, 0.06897449493408203, 0.036669015884399414, 0.041285037994384766, 201840000, 269120000, 10125640000, 269120000, 134560012, 269120000, 134560000, 134560000
6200, 0.009835243225097656, 0.01824355125427246, 0.0381467342376709, 0.10634803771972656, 0.028492450714111328, 0.04992556571960449, 230640000, 307520000, 11570440000, 307520000, 153760012, 307520000, 153760000, 153760000
6600, 0.01068878173828125, 0.04009819030761719, 0.04469108581542969, 0.13624906539916992, 0.03912043571472168, 0.05325794219970703, 261360000, 348480000, 13111560000, 348480000, 174240012, 348480000, 174240000, 174240000
7000, 0.012637138366699219, 0.023296833038330078, 0.05123186111450195, 0.10106897354125977, 0.06199502944946289, 0.06280040740966797, 294000000, 392000000, 14749000000, 392000000, 196000012, 392000000, 196000000, 196000000
